entry-number,entry-timestamp,local-authority-eng,local-authority-type,local-authority-type-name,official-name,alt-name-1,alt-name-2,alt-name-3,start-date,gss-code,old-ons-la-code,ualad99
356,2016-11-01T14:16:54Z,GLA,SRA,Strategic Regional Authority,Greater London Authority,Greater London,,,22-06-05,E12000007,H,00-London
355,2016-10-31T12:59:03Z,LND,CC,City corporation,City of London Corporation,City of London,,,28-06-05,E09000001,201,
354,2016-10-21T16:11:20Z,WOT,NMD,Non-metropolitan district,Worthing Borough Council,Worthing,,,25-06-05,E07000229,45UH,
353,2016-10-21T16:11:20Z,MSS,NMD,Non-metropolitan district,Mid Sussex District Council,Mid Sussex,,,01-04-74,E07000228,45UG,
352,2016-10-21T16:11:20Z,HOR,NMD,Non-metropolitan district,Horsham District Council,Horsham,,,01-04-74,E07000227,45UF,
351,2016-10-21T16:11:20Z,CRW,NMD,Non-metropolitan district,Crawley Borough Council,Crawley,,,01-04-74,E07000226,45UE,
350,2016-10-21T16:11:20Z,CHI,NMD,Non-metropolitan district,Chichester District Council,Chichester,,,01-04-74,E07000225,45UD,
349,2016-10-21T16:11:20Z,ARU,NMD,Non-metropolitan district,Arun District Council,Arun,,,,E07000224,45UC,
348,2016-10-21T16:11:20Z,ADU,NMD,Non-metropolitan district,Adur District Council,Adur,,,,E07000223,45UB,
347,2016-10-21T16:11:20Z,WSX,CTY,County,West Sussex County Council,West Sussex,,,,E10000032,938,45-00
346,2016-10-21T16:11:20Z,WYE,NMD,Non-metropolitan district,Wyre Forest District Council,Wyre Forest,,,,E07000239,47UG,
345,2016-10-21T16:11:20Z,WYC,NMD,Non-metropolitan district,Wychavon District Council,Wychavon,,,,E07000238,47UF,
344,2016-10-21T16:11:20Z,WOC,NMD,Non-metropolitan district,Worcester City Council,Worcester,,,,E07000237,47UE,
343,2016-10-21T16:11:20Z,RED,NMD,Non-metropolitan district,Redditch Borough Council,Redditch,,,,E07000236,47UD,
342,2016-10-21T16:11:20Z,MAV,NMD,Non-metropolitan district,Malvern Hills District Council,Malvern Hills,,,,E07000235,47UC,
341,2016-10-21T16:11:20Z,BRM,NMD,Non-metropolitan district,Bromsgrove District Council,Bromsgrove,,,,E07000234,47UB,
340,2016-10-21T16:11:20Z,WOR,CTY,County,Worcestershire County Council,Worcestershire,,,,E10000034,885,47-00
339,2016-10-21T16:11:20Z,WAW,NMD,Non-metropolitan district,Warwick District Council,Warwick,,,,E07000222,44UF,
338,2016-10-21T16:11:20Z,STR,NMD,Non-metropolitan district,Stratford-on-Avon District Council,Stratford-on-Avon,,,,E07000221,44UE,
337,2016-10-21T16:11:20Z,RUG,NMD,Non-metropolitan district,Rugby Borough Council,Rugby,,,,E07000220,44UD,
336,2016-10-21T16:11:20Z,NUN,NMD,Non-metropolitan district,Nuneaton and Bedworth Borough Council,Nuneaton and Bedworth,Nuneaton & Bedworth,,,E07000219,44UC,
335,2016-10-21T16:11:20Z,NWA,NMD,Non-metropolitan district,North Warwickshire Borough Council,North Warwickshire,,,,E07000218,44UB,
334,2016-10-21T16:11:20Z,WAR,CTY,County,Warwickshire County Council,Warwickshire,,,,E10000031,937,44-00
333,2016-10-21T16:11:20Z,TAW,NMD,Non-metropolitan district,Tamworth Borough Council,Tamworth,,,,E07000199,41UK,
332,2016-10-21T16:11:20Z,STF,NMD,Non-metropolitan district,Staffordshire Moorlands District Council,Staffordshire Moorlands,,,,E07000198,41UH,
331,2016-10-21T16:11:20Z,STA,NMD,Non-metropolitan district,Stafford Borough Council,Stafford,,,,E07000197,41UG,
330,2016-10-21T16:11:20Z,SST,NMD,Non-metropolitan district,South Staffordshire Council,South Staffordshire,,,,E07000196,41UF,
329,2016-10-21T16:11:20Z,NEC,NMD,Non-metropolitan district,Newcastle-under-Lyme Borough Council,Newcastle-under-Lyme,,,,E07000195,41UE,
328,2016-10-21T16:11:20Z,LIF,NMD,Non-metropolitan district,Lichfield District Council,Lichfield,,,,E07000194,41UD,
327,2016-10-21T16:11:20Z,EST,NMD,Non-metropolitan district,East Staffordshire Borough Council,East Staffordshire,,,,E07000193,41UC,
326,2016-10-21T16:11:20Z,CAN,NMD,Non-metropolitan district,Cannock Chase District Council,Cannock Chase,,,,E07000192,41UB,
325,2016-10-21T16:11:20Z,STS,CTY,County,Staffordshire County Council,Staffordshire,,,,E10000028,860,41-00
324,2016-10-21T16:11:20Z,WOI,NMD,Non-metropolitan district,Woking Borough Council,Woking,,,,E07000217,43UM,
323,2016-10-21T16:11:20Z,WAE,NMD,Non-metropolitan district,Waverley Borough Council,Waverley,,,,E07000216,43UL,
322,2016-10-21T16:11:20Z,TAN,NMD,Non-metropolitan district,Tandridge District Council,Tandridge,,,,E07000215,43UK,
321,2016-10-21T16:11:20Z,SUR,NMD,Non-metropolitan district,Surrey Heath Borough Council,Surrey Heath,,,,E07000214,43UJ,
320,2016-10-21T16:11:20Z,SPE,NMD,Non-metropolitan district,Spelthorne Borough Council,Spelthorne,,,,E07000213,43UH,
319,2016-10-21T16:11:20Z,RUN,NMD,Non-metropolitan district,Runnymede Borough Council,Runnymede,,,,E07000212,43UG,
318,2016-10-21T16:11:20Z,REI,NMD,Non-metropolitan district,Reigate and Banstead Borough Council,Reigate and Banstead,Reigate & Banstead,,,E07000211,43UF,
317,2016-10-21T16:11:20Z,MOL,NMD,Non-metropolitan district,Mole Valley District Council,Mole Valley,,,,E07000210,43UE,
316,2016-10-21T16:11:20Z,GRT,NMD,Non-metropolitan district,Guildford Borough Council,Guildford,,,,E07000209,43UD,
315,2016-10-21T16:11:20Z,EPS,NMD,Non-metropolitan district,Epsom and Ewell Borough Council,Epsom and Ewell,Epsom & Ewell,,,E07000208,43UC,
