name,local-authority,,
aberdeen c ity,local-authority-sct:ABE,ABE,ABE
aberdeen city,local-authority-sct:ABE,ABE,ABE
aberdeen city council,local-authority-sct:ABE,ABE,ABE
aberdeen cuty,local-authority-sct:ABE,ABE,ABE
aberdeenshire,local-authority-sct:ABD,ABD,ABD
aberdeenshire council,local-authority-sct:ABD,ABD,ABD
abertawe,local-authority-wls:SWA,SWA,SWA
anglesey,local-authority-wls:AGY,AGY,AGY
angus,local-authority-sct:ANS,ANS,ANS
angus council,local-authority-sct:ANS,ANS,ANS
antrim and newtownabbey,local-authority-nir:ANN,ANN,ANN
ards and north down,local-authority-nir:AND,AND,AND
argyll and bute,local-authority-sct:AGB,AGB,AGB
argyll and bute council,local-authority-sct:AGB,AGB,AGB
"armagh city, banbridge and craigavon",local-authority-nir:ABC,ABC,ABC
"armagh, banbridge and craigavon",local-authority-nir:ABC,ABC,ABC
barking and dagenham,local-authority-eng:BDG,BDG,BDG
barking and dagenham london boro,local-authority-eng:BDG,BDG,BDG
barnsley,local-authority-eng:BNS,BNS,BNS
barnsley district,local-authority-eng:BNS,BNS,BNS
barnsley metropolitan borough council,local-authority-eng:BNS,BNS,BNS
basildon,local-authority-eng:BAS,BAS,BAS
basildon borough council,local-authority-eng:BAS,BAS,BAS
basildon district,local-authority-eng:BAS,BAS,BAS
bath and north east somerset,local-authority-eng:BNE,BNE,BNE
bath and north east somerset council,local-authority-eng:BNE,BNE,BNE
bedford,local-authority-eng:BDF,BDF,BDF
bedford borough council,local-authority-eng:BDF,BDF,BDF
belfast,local-authority-nir:BFS,BFS,BFS
belfast city,local-authority-nir:BFS,BFS,BFS
belfast city council,local-authority-nir:BFS,BFS,BFS
bexley,local-authority-eng:BEX,BEX,BEX
bexley london boro,local-authority-eng:BEX,BEX,BEX
birmingham,local-authority-eng:BIR,BIR,BIR
birmingham city council,local-authority-eng:BIR,BIR,BIR
birmingham district,local-authority-eng:BIR,BIR,BIR
blackburn,local-authority-eng:BBD,BBD,BBD
blackburn with darwen,local-authority-eng:BBD,BBD,BBD
blackburn with darwen borough council,local-authority-eng:BBD,BBD,BBD
blackpool,local-authority-eng:BPL,BPL,BPL
blackpool borough council,local-authority-eng:BPL,BPL,BPL
blaenau gwent,local-authority-wls:BGW,BGW,BGW
blaenau gwent county borough council,local-authority-wls:BGW,BGW,BGW
bolton,local-authority-eng:BOL,BOL,BOL
bolton district,local-authority-eng:BOL,BOL,BOL
bolton metropolitan borough council,local-authority-eng:BOL,BOL,BOL
borough council of kings lynn and west norfolk,local-authority-eng:KIN,KIN,KIN
borough of poole,local-authority-eng:POL,POL,POL
bournemouth,local-authority-eng:BMH,BMH,BMH
bournemouth borough council,local-authority-eng:BMH,BMH,BMH
bradford,local-authority-eng:BRD,BRD,BRD
bradford district,local-authority-eng:BRD,BRD,BRD
bradford mdc,local-authority-eng:BRD,BRD,BRD
bradford metropolitan district council,local-authority-eng:BRD,BRD,BRD
braintree,local-authority-eng:BRT,BRT,BRT
braintree district,local-authority-eng:BRT,BRT,BRT
braintree district council,local-authority-eng:BRT,BRT,BRT
brent,local-authority-eng:BEN,BEN,BEN
brent london boro,local-authority-eng:BEN,BEN,BEN
bridgend,local-authority-wls:BGE,BGE,BGE
bridgend county borough,local-authority-wls:BGE,BGE,BGE
bridgend county borough council,local-authority-wls:BGE,BGE,BGE
brighton and hove,local-authority-eng:BNH,BNH,BNH
brighton and hove city council,local-authority-eng:BNH,BNH,BNH
bristol,local-authority-eng:BST,BST,BST
bristol city council,local-authority-eng:BST,BST,BST
bristol city of,local-authority-eng:BST,BST,BST
"bristol, city of",local-authority-eng:BST,BST,BST
bro morgannwg,local-authority-wls:VGL,VGL,VGL
broadland,local-authority-eng:BRO,BRO,BRO
broadland district,local-authority-eng:BRO,BRO,BRO
broadland district council,local-authority-eng:BRO,BRO,BRO
bromley,local-authority-eng:BRY,BRY,BRY
bromley london boro,local-authority-eng:BRY,BRY,BRY
bromsgrove,local-authority-eng:BRM,BRM,BRM
bromsgrove district,local-authority-eng:BRM,BRM,BRM
bromsgrove district council,local-authority-eng:BRM,BRM,BRM
buckinghamshire,local-authority-eng:BKM,BKM,BKM
buckinghamshire county,local-authority-eng:BKM,BKM,BKM
buckinghamshire county council,local-authority-eng:BKM,BKM,BKM
bury,local-authority-eng:BUR,BUR,BUR
bury district,local-authority-eng:BUR,BUR,BUR
bury metropolitan borough council,local-authority-eng:BUR,BUR,BUR
caerdydd,local-authority-wls:CRF,CRF,CRF
caerffili,local-authority-wls:CAY,CAY,CAY
caerphilly,local-authority-wls:CAY,CAY,CAY
caerphilly county borough,local-authority-wls:CAY,CAY,CAY
caerphilly county borough council,local-authority-wls:CAY,CAY,CAY
calderdale,local-authority-eng:CLD,CLD,CLD
calderdale district,local-authority-eng:CLD,CLD,CLD
calderdale metropolitan borough council,local-authority-eng:CLD,CLD,CLD
cambridgeshire,local-authority-eng:CAM,CAM,CAM
cambridgeshire county,local-authority-eng:CAM,CAM,CAM
cambridgeshire county council,local-authority-eng:CAM,CAM,CAM
camden,local-authority-eng:CMD,CMD,CMD
camden london boro,local-authority-eng:CMD,CMD,CMD
cardiff,local-authority-wls:CRF,CRF,CRF
carmarthenshire,local-authority-wls:CMN,CMN,CMN
carmarthenshire county council,local-authority-wls:CMN,CMN,CMN
casnewydd,local-authority-wls:NWP,NWP,NWP
castell-nedd port talbot,local-authority-wls:NTL,NTL,NTL
causeway coast and glens,local-authority-nir:CCG,CCG,CCG
central bedfordshire,local-authority-eng:CBF,CBF,CBF
central bedfordshire council,local-authority-eng:CBF,CBF,CBF
ceredigion,local-authority-wls:CGN,CGN,CGN
ceredigion county council,local-authority-wls:CGN,CGN,CGN
chelmsford,local-authority-eng:CHC,CHC,CHC
chelmsford city council,local-authority-eng:CHC,CHC,CHC
chelmsford district,local-authority-eng:CHC,CHC,CHC
cheltenham,local-authority-eng:CHE,CHE,CHE
cheltenham borough council,local-authority-eng:CHE,CHE,CHE
cheltenham district,local-authority-eng:CHE,CHE,CHE
chichester,local-authority-eng:CHS,CHS,CHS
chichester district,local-authority-eng:CHS,CHS,CHS
chichester district council,local-authority-eng:CHS,CHS,CHS
city and county of swansea council,local-authority-wls:SWA,SWA,SWA
city and county of the city of london,local-authority-eng:LND,LND,LND
city of aberdeen,local-authority-sct:ABE,ABE,ABE
city of brighton and hove,local-authority-eng:BNH,BNH,BNH
city of bristol,local-authority-eng:BST,BST,BST
city of cardiff council,local-authority-wls:CRF,CRF,CRF
city of derby,local-authority-eng:DER,DER,DER
city of dundee,local-authority-sct:DND,DND,DND
city of edinburgh,local-authority-sct:EDH,EDH,EDH
city of edinburgh council,local-authority-sct:EDH,EDH,EDH
city of glasgow,local-authority-sct:GLG,GLG,GLG
city of kingston upon hull,local-authority-eng:KHL,KHL,KHL
city of leicester,local-authority-eng:LCE,LCE,LCE
city of london,local-authority-eng:LND,LND,LND
city of london corporation,local-authority-eng:LND,LND,LND
city of nottingham,local-authority-eng:NGM,NGM,NGM
city of peterborough,local-authority-eng:PTE,PTE,PTE
city of plymouth,local-authority-eng:PLY,PLY,PLY
city of portsmouth,local-authority-eng:POR,POR,POR
city of southampton,local-authority-eng:STH,STH,STH
city of westminster,local-authority-eng:WSM,WSM,WSM
city of westminster london boro,local-authority-eng:WSM,WSM,WSM
city of wolverhampton,local-authority-eng:WLV,WLV,WLV
city of wolverhampton district,local-authority-eng:WLV,WLV,WLV
city of york council,local-authority-eng:YOR,YOR,YOR
clackmannan,local-authority-sct:CLK,CLK,CLK
clackmannanshire,local-authority-sct:CLK,CLK,CLK
clackmannanshire council,local-authority-sct:CLK,CLK,CLK
comhairle nan eilean siar,local-authority-sct:ELS,ELS,ELS
comhairle nan eilean siar (western isles),local-authority-sct:ELS,ELS,ELS
conwy,local-authority-wls:CWY,CWY,CWY
conwy county borough council,local-authority-wls:CWY,CWY,CWY
cornwall,local-authority-eng:CON,CON,CON
cornwall council,local-authority-eng:CON,CON,CON
county durham,local-authority-eng:DUR,DUR,DUR
county of herefordshire,local-authority-eng:HEF,HEF,HEF
coventry,local-authority-eng:COV,COV,COV
coventry city council,local-authority-eng:COV,COV,COV
coventry district,local-authority-eng:COV,COV,COV
crawley,local-authority-eng:CRW,CRW,CRW
crawley borough council,local-authority-eng:CRW,CRW,CRW
crawley district,local-authority-eng:CRW,CRW,CRW
croydon,local-authority-eng:CRY,CRY,CRY
croydon london boro,local-authority-eng:CRY,CRY,CRY
cumbria,local-authority-eng:CMA,CMA,CMA
cumbria county,local-authority-eng:CMA,CMA,CMA
cumbria county council,local-authority-eng:CMA,CMA,CMA
darlington,local-authority-eng:DAL,DAL,DAL
darlington borough council,local-authority-eng:DAL,DAL,DAL
denbighshire,local-authority-wls:DEN,DEN,DEN
denbighshire county council,local-authority-wls:DEN,DEN,DEN
derby,local-authority-eng:DER,DER,DER
derby city,local-authority-eng:DER,DER,DER
derby city council,local-authority-eng:DER,DER,DER
derbyshire,local-authority-eng:DBY,DBY,DBY
derbyshire county,local-authority-eng:DBY,DBY,DBY
derbyshire county council,local-authority-eng:DBY,DBY,DBY
