lsoa,local-authority-code
E01000001,LND
E01000003,LND
E01000002,LND
E01032739,LND
E01032740,LND
E01000005,LND
E01000009,BDG
E01000011,BDG
E01000012,BDG
E01000007,BDG
E01000008,BDG
E01000006,BDG
E01000010,BDG
E01000016,BDG
E01000015,BDG
E01000017,BDG
E01000018,BDG
E01000014,BDG
E01000013,BDG
E01000024,BDG
E01032580,BDG
E01000019,BDG
E01000020,BDG
E01000021,BDG
E01000022,BDG
E01000023,BDG
E01000025,BDG
E01000032,BDG
E01000031,BDG
E01000028,BDG
E01000027,BDG
E01000030,BDG
E01000029,BDG
E01000035,BDG
E01000033,BDG
E01000034,BDG
E01000036,BDG
E01000037,BDG
E01000038,BDG
E01000039,BDG
E01000045,BDG
E01000041,BDG
E01000044,BDG
E01000046,BDG
E01000042,BDG
E01000040,BDG
E01000043,BDG
E01000052,BDG
E01000048,BDG
E01000049,BDG
E01033587,BDG
E01033588,BDG
E01000050,BDG
E01000051,BDG
E01000053,BDG
E01000059,BDG
E01000055,BDG
E01000056,BDG
E01000054,BDG
E01000057,BDG
E01000058,BDG
E01000063,BDG
E01000060,BDG
E01000061,BDG
E01000064,BDG
E01000062,BDG
E01000065,BDG
E01000066,BDG
E01000067,BDG
E01000069,BDG
E01000070,BDG
E01000068,BDG
E01000071,BDG
E01000076,BDG
E01000075,BDG
E01000077,BDG
E01000073,BDG
E01000074,BDG
E01000072,BDG
E01000078,BDG
E01000082,BDG
E01000083,BDG
E01000081,BDG
E01000080,BDG
E01000079,BDG
E01000087,BDG
E01000090,BDG
E01000086,BDG
E01000088,BDG
E01000089,BDG
E01000084,BDG
E01000085,BDG
E01000091,BDG
E01000094,BDG
E01000092,BDG
E01000093,BDG
E01000095,BDG
E01000096,BDG
E01000098,BDG
E01000097,BDG
E01000099,BDG
E01000100,BDG
E01000101,BDG
E01000102,BDG
E01000105,BDG
E01000106,BDG
E01000107,BDG
E01000104,BDG
E01000103,BDG
E01000108,BDG
E01000111,BDG
E01000109,BDG
E01000114,BDG
E01000112,BDG
E01000110,BDG
E01000113,BDG
E01000119,BNE
E01000124,BNE
E01000118,BNE
E01000120,BNE
E01000117,BNE
E01000116,BNE
E01000121,BNE
E01000122,BNE
E01000123,BNE
E01000115,BNE
E01000126,BNE
E01000131,BNE
E01000129,BNE
E01000128,BNE
E01000132,BNE
E01000133,BNE
E01000134,BNE
E01000127,BNE
E01000125,BNE
E01000130,BNE
E01000141,BNE
E01000139,BNE
E01000138,BNE
E01000140,BNE
E01000137,BNE
E01000142,BNE
E01000143,BNE
E01000144,BNE
E01000145,BNE
E01000146,BNE
E01000135,BNE
E01000136,BNE
E01000153,BNE
E01000155,BNE
E01033572,BNE
E01000147,BNE
E01000150,BNE
E01000152,BNE
E01000151,BNE
E01000154,BNE
E01000148,BNE
E01000160,BNE
E01000165,BNE
E01000161,BNE
E01000163,BNE
E01000156,BNE
E01000158,BNE
E01000162,BNE
E01000164,BNE
E01000157,BNE
E01000159,BNE
E01000174,BNE
E01000175,BNE
E01000169,BNE
E01000170,BNE
E01000166,BNE
E01000171,BNE
E01000168,BNE
E01000172,BNE
E01000173,BNE
E01000167,BNE
E01000179,BNE
E01000177,BNE
E01000184,BNE
E01000183,BNE
E01000180,BNE
E01000182,BNE
E01000176,BNE
E01000185,BNE
E01000178,BNE
E01000181,BNE
E01000188,BNE
E01000187,BNE
E01000195,BNE
E01000186,BNE
E01000189,BNE
E01000191,BNE
E01000190,BNE
E01000192,BNE
E01000193,BNE
E01000194,BNE
E01000200,BNE
E01000203,BNE
E01000197,BNE
E01000198,BNE
E01000201,BNE
E01000199,BNE
E01000202,BNE
E01000204,BNE
E01000196,BNE
E01000213,BNE
E01000214,BNE
E01000206,BNE
E01000210,BNE
E01000205,BNE
E01000211,BNE
E01000208,BNE
E01000209,BNE
E01000207,BNE
E01000212,BNE
E01000221,BNE
E01000218,BNE
E01000216,BNE
E01000219,BNE
E01000220,BNE
E01000222,BNE
E01000223,BNE
E01000224,BNE
E01000225,BNE
E01000217,BNE
E01000215,BNE
E01000235,BNE
E01000228,BNE
E01000226,BNE
E01000229,BNE
E01000230,BNE
E01000231,BNE
E01000234,BNE
E01000232,BNE
E01000233,BNE
E01000227,BNE
E01000242,BNE
E01000237,BNE
E01000238,BNE
E01000245,BNE
E01000243,BNE
E01000244,BNE
E01000239,BNE
E01000236,BNE
E01000240,BNE
E01000241,BNE
E01000251,BNE
E01000252,BNE
E01000253,BNE
E01000254,BNE
E01000247,BNE
E01000250,BNE
E01000246,BNE
E01000249,BNE
E01000248,BNE
E01000264,BNE
E01000255,BNE
E01000256,BNE
E01000260,BNE
E01000257,BNE
E01000258,BNE
E01000263,BNE
E01000261,BNE
E01000262,BNE
E01000259,BNE
E01000270,BNE
E01000268,BNE
E01000272,BNE
E01000273,BNE
E01000271,BNE
E01000267,BNE
E01000274,BNE
E01000266,BNE
E01000265,BNE
E01000269,BNE
E01000284,BNE
E01000277,BNE
E01000275,BNE
E01000282,BNE
E01000276,BNE
E01000278,BNE
E01000280,BNE
E01000279,BNE
E01000281,BNE
E01000283,BNE
E01000294,BNE
E01000288,BNE
E01000289,BNE
E01000291,BNE
E01000290,BNE
E01000285,BNE
E01000292,BNE
E01000287,BNE
E01000293,BNE
E01000286,BNE
E01000301,BNE
E01000299,BNE
E01000304,BNE
E01000296,BNE
E01000298,BNE
E01000295,BNE
E01000297,BNE
E01000300,BNE
E01000302,BNE
E01000303,BNE
E01000309,BNE
E01000314,BNE
E01000307,BNE
E01000313,BNE
E01000312,BNE
E01000306,BNE
E01000310,BNE
E01000308,BNE
E01000311,BNE
E01000305,BNE
E01000323,BNE
E01000316,BNE
E01000319,BNE
E01000322,BNE
E01000324,BNE
E01000315,BNE
E01000318,BNE
E01000317,BNE
E01000321,BNE
E01000320,BNE
E01000331,BEX
E01000325,BEX
E01000329,BEX
E01000328,BEX
E01000327,BEX
E01000326,BEX
E01000330,BEX
E01000332,BEX
E01000334,BEX
E01000338,BEX
E01000337,BEX
E01000333,BEX
E01000335,BEX
E01000336,BEX
E01000345,BEX
E01000344,BEX
E01000341,BEX
E01000342,BEX
E01000343,BEX
E01000339,BEX
E01000340,BEX
E01000349,BEX
E01000347,BEX
E01000346,BEX
E01000351,BEX
E01000350,BEX
E01000348,BEX
E01000352,BEX
E01000359,BEX
E01000356,BEX
E01000357,BEX
E01000358,BEX
E01000354,BEX
E01000355,BEX
E01000353,BEX
E01000361,BEX
E01000364,BEX
E01000366,BEX
E01000365,BEX
E01000360,BEX
E01000362,BEX
E01000363,BEX
E01000369,BEX
E01000370,BEX
E01000367,BEX
E01000368,BEX
E01000371,BEX
E01000372,BEX
E01000373,BEX
E01000380,BEX
E01000376,BEX
E01000377,BEX
E01000379,BEX
E01000374,BEX
E01000375,BEX
E01000378,BEX
E01000386,BEX
E01000384,BEX
E01000383,BEX
E01000381,BEX
E01000385,BEX
E01000387,BEX
E01000382,BEX
E01000388,BEX
E01000394,BEX
E01000389,BEX
E01000392,BEX
E01000393,BEX
E01000391,BEX
E01000390,BEX
E01000396,BEX
E01032566,BEX
E01000398,BEX
E01000400,BEX
E01000399,BEX
E01000395,BEX
E01000401,BEX
E01000404,BEX
E01000402,BEX
E01000407,BEX
E01000403,BEX
E01000408,BEX
E01000405,BEX
E01000406,BEX
E01000410,BEX
E01000411,BEX
E01000415,BEX
E01000414,BEX
E01000409,BEX
E01000412,BEX
E01000413,BEX
E01000417,BEX
E01000420,BEX
E01000422,BEX
E01000416,BEX
E01000418,BEX
E01000419,BEX
E01000421,BEX
E01000427,BEX
E01000428,BEX
E01000425,BEX
E01000426,BEX
E01000424,BEX
E01000423,BEX
E01000431,BEX
E01000430,BEX
E01000434,BEX
E01000429,BEX
E01000432,BEX
E01000433,BEX
E01000435,BEX
E01000439,BEX
E01000441,BEX
E01000436,BEX
E01000440,BEX
E01000442,BEX
E01000438,BEX
E01000437,BEX
E01000445,BEX
E01000444,BEX
E01000447,BEX
E01000449,BEX
E01000448,BEX
E01000446,BEX
E01000443,BEX
E01000453,BEX
E01000451,BEX
E01000452,BEX
E01000454,BEX
E01000455,BEX
E01000456,BEX
E01000450,BEX
E01000457,BEX
E01000459,BEX
E01000462,BEX
E01000463,BEX
E01000461,BEX
E01000458,BEX
E01000460,BEX
E01000466,BEX
E01000470,BEX
E01000469,BEX
E01000464,BEX
E01000467,BEX
E01000468,BEX
E01000465,BEX
E01000476,BEN
E01000473,BEN
E01000478,BEN
E01000477,BEN
E01000471,BEN
E01000472,BEN
E01000474,BEN
E01000475,BEN
E01000484,BEN
E01000485,BEN
E01000486,BEN
E01000487,BEN
E01000481,BEN
E01000479,BEN
E01000480,BEN
E01000482,BEN
E01000483,BEN
E01000490,BEN
E01000491,BEN
E01000495,BEN
E01000488,BEN
E01000492,BEN
E01000489,BEN
E01000494,BEN
E01000493,BEN
E01000503,BEN
E01000501,BEN
E01000499,BEN
E01000498,BEN
E01000497,BEN
E01033464,BEN
E01000502,BEN
E01000506,BEN
E01000510,BEN
E01000511,BEN
E01000507,BEN
E01000504,BEN
E01000512,BEN
E01000505,BEN
E01000508,BEN
E01000509,BEN
E01000516,BEN
E01000520,BEN
E01000515,BEN
E01000513,BEN
E01000514,BEN
E01000517,BEN
E01000518,BEN
E01000519,BEN
E01000528,BEN
E01000522,BEN
E01000527,BEN
E01000521,BEN
E01000523,BEN
E01000524,BEN
E01000525,BEN
E01000526,BEN
E01000532,BEN
E01000531,BEN
E01000533,BEN
E01000534,BEN
E01000530,BEN
E01000535,BEN
E01033485,BEN
E01033455,BEN
E01000539,BEN
E01000543,BEN
E01000538,BEN
E01033463,BEN
E01000536,BEN
E01000541,BEN
E01000540,BEN
E01000545,BEN
E01000546,BEN
E01000549,BEN
E01000547,BEN
E01000548,BEN
E01000550,BEN
E01000551,BEN
E01000544,BEN
E01000552,BEN
E01000555,BEN
E01000556,BEN
E01000557,BEN
E01000554,BEN
E01000558,BEN
E01000559,BEN
E01000560,BEN
E01000561,BEN
E01000553,BEN
E01000565,BEN
E01000564,BEN
E01000567,BEN
E01000562,BEN
E01000568,BEN
E01000569,BEN
E01000563,BEN
E01000566,BEN
E01000577,BEN
E01000575,BEN
E01000570,BEN
E01000574,BEN
E01000573,BEN
E01000576,BEN
E01000578,BEN
E01000571,BEN
E01000572,BEN
E01000583,BEN
E01000585,BEN
E01000586,BEN
E01000579,BEN
E01000580,BEN
E01000581,BEN
E01000584,BEN
E01000582,BEN
E01000591,BEN
E01000592,BEN
E01000593,BEN
E01000587,BEN
E01000594,BEN
E01000590,BEN
E01000588,BEN
E01000589,BEN
E01000599,BEN
E01000600,BEN
