gss-code,offical-name,alt-name-1,alt-name-2,ualad99
S12000033,Aberdeen City,Aberdeen City Council,,00-QA
S12000034,Aberdeenshire,Aberdeenshire Council,,00-QB
S12000041,Angus,Angus Council,,00-QC
S12000035,Argyll and Bute,Argyll and Bute Council,,00-QD
S12000036,City of Edinburgh,City of Edinburgh Council,,00-QP
S12000005,Clackmannanshire,Clackmannanshire Council,,00-QF
S12000006,Dumfries and Galloway,Dumfries and Galloway Council,Dumfries & Galloway Council,00-QH
S12000042,Dundee City,Dundee City Council,,00-QJ
S12000008,East Ayrshire,East Ayrshire Council,,00-QK
S12000045,East Dunbartonshire,East Dunbartonshire Council,,00-QL
S12000010,East Lothian,East Lothian Council,,00-QM
S12000011,East Renfrewshire,East Renfrewshire Council,,00-QN
S12000014,Falkirk,Falkirk Council,,00-QQ
S12000015,Fife,Fife Council,,00-QR
S12000046,Glasgow City,Glasgow City Council,,00-QS
S12000017,Highland,Highland Council,,00-QT
S12000018,Inverclyde,Inverclyde Council,,00-QU
S12000019,Midlothian,Midlothian Council,,00-QW
S12000020,Moray,Moray Council,,00-QX
S12000013,Na h-Eileanan Siar,Comhairle nan Eilean Siar,Western Isles Council,00-RJ
S12000021,North Ayrshire,North Ayrshire Council,,00-QY
S12000044,North Lanarkshire,North Lanarkshire Council,,00-QZ
S12000023,Orkney Islands,Orkney Islands Council,,00-RA
S12000024,Perth and Kinross,Perth and Kinross Council,Perth & Kinross Council,00-RB
S12000038,Renfrewshire,Renfrewshire Council,,00-RC
S12000026,Scottish Borders,Scottish Borders Council,,00-QE
S12000027,Shetland Islands,Shetland Islands Council,,00-RD
S12000028,South Ayrshire,South Ayrshire Council,,00-RE
S12000029,South Lanarkshire,South Lanarkshire Council,,00-RF
S12000030,Stirling,Stirling Council,,00-RG
S12000039,West Dunbartonshire,West Dunbartonshire Council,,00-QG
S12000040,West Lothian,West Lothian Council,,00-RH
W06000019,Blaenau Gwent,Blaenau Gwent County Borough Council,,00-PL
W06000013,Bridgend,Bridgend County Borough Council ,,00-PB
W06000018,Caerphilly,Caerphilly County Borough Council ,,00-PK
W06000015,Cardiff,The City of Cardiff Council ,,00-PT
W06000010,Carmarthenshire,Carmarthenshire County Council ,,00-NU
W06000008,Ceredigion,Ceredigion County Council ,,00-NQ
W06000003,Conwy,Conwy County Borough Council ,,00-NE
W06000004,Denbighshire,Denbighshire County Council ,,00-NG
W06000005,Flintshire,Flintshire County Council ,,00-NJ
W06000002,Gwynedd,Gwynedd Council ,,00-NC
W06000001,Isle of Anglesey,Isle of Anglesey County Council ,,00-NA
W06000024,Merthyr Tydfil,Merthyr Tydfil County Borough Council ,,00-PH
W06000021,Monmouthshire,Monmouthshire County Council ,,00-PP
W06000012,Neath Port Talbot,Neath Port Talbot County Borough Council ,,00-NZ
W06000022,Newport,Newport City Council ,,00-PR
W06000009,Pembrokeshire,Pembrokeshire County Council ,,00-NS
W06000023,Powys,Powys County Council ,,00-NN
W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf County Borough Council ,,00-PF
W06000011,Swansea,City and County of Swansea ,,00-NX
W06000020,Torfaen,Torfaen County Borough Council ,,00-PM
W06000014,Vale of Glamorgan,Vale of Glamorgan Council ,,00-PD
W06000006,Wrexham,Wrexham County Borough Council ,,00-NL
N09000001,Antrim and Newtownabbey,Antrim and Newtownabbey Borough Council,,95-TU
N09000011,Ards and North Down,Ards and North Down Borough Council,,95-WX
N09000002,"Armagh City, Banbridge and Craigavon","Armagh City, Banbridge and Craigavon Borough Council",,95-OQN
N09000003,Belfast,Belfast City Council,,95-Z
N09000004,Causeway Coast and Glens,Causeway Coast and Glens Borough Council,,95-BCDE
N09000005,Derry City and Strabane,Derry City and Strabane District Council,,95-AJ
N09000006,Fermanagh and Omagh,Fermanagh and Omagh District Council,,95-LK
N09000007,Lisburn and Castlereagh,Lisburn and Castlereagh City Council,,95-SY
N09000009,Mid Ulster,Mid-Ulster District Council,,95-HIM
N09000008,Mid and East Antrim,Mid and East Antrim Borough Council,,95-FGV
N09000010,"Newry, Mourne and Down","Newry, Mourne and Down District Council",,95-PR
