local-authority-code,area,pop_2020
DUR,2226,533149
DAL,197,107402
HPL,94,93836
MDB,54,141285
NBL,5020,323820
RCC,245,137228
STT,205,197419
GAT,142,201950
NET,113,306824
NTY,82,208871
STY,64,151133
SND,137,277846
BBD,137,150030
BPL,35,138381
CHE,1166,386667
CHW,920,343823
HAL,79,129759
WRT,181,209397
CMA,6768,499781
ALL,1242,97831
BAR,78,66726
CAR,1038,108524
COP,732,68041
EDN,2142,53754
SLA,1535,104905
BOL,140,288248
BUR,99,190708
MAN,116,555741
OLD,142,237628
RCH,158,223659
SLF,97,262697
SKP,126,294197
TAM,103,227117
TRF,106,237579
WGN,188,330712
LAN,2894,1227076
BUN,111,89344
CHO,203,118870
FYL,166,81211
HYN,73,81133
LAC,567,148119
PEN,169,92145
PRE,142,144147
RIB,583,62026
ROS,138,71432
SRI,113,111086
WLA,347,114496
WYR,282,113067
KWL,87,152452
LIV,112,500474
SFT,157,275899
SHN,136,181095
WRL,161,324336
ERY,2404,343201
KHL,72,259126
NEL,193,159364
NLN,847,172748
YOR,272,211012
NYK,8037,620610
CRA,1177,57338
HAE,1311,91932
HAG,1308,161545
RIH,1319,53732
RYE,1507,55629
SCE,816,108737
SEL,599,91697
BNS,329,248071
DNC,568,312785
ROT,287,264984
SHF,368,589214
BRD,366,542128
CLD,364,211439
KIR,409,441290
LDS,552,798786
WKF,339,351592
DER,78,256814
LCE,73,354036
NNT,987,350448
NGM,75,337098
RUT,382,40476
WNT,1377,406733
DBY,2547,807183
AMB,265,128829
BOS,160,81305
CHS,66,104930
DEB,792,72422
ERE,110,115332
HIG,539,92633
NED,276,102216
SDE,338,109516
LEC,2083,713085
BLA,130,101950
CHA,279,188416
HAO,592,95537
HIN,297,113666
MEL,481,51394
NWL,279,104809
OAD,24,57313
LIN,5937,766333
BOT,364,70837
ELI,1767,142030
LIC,36,100049
NKE,922,118149
SHO,750,95857
SKE,943,143225
WLI,1156,96186
NTT,2085,833377
ASH,110,128337
BAE,638,118280
BRT,80,114627
GED,120,118239
MAS,77,109351
NEA,651,123127
RUS,409,121416
HEF,2180,193615
SHR,3197,325415
STE,93,256622
TFW,290,181322
STS,2620,883172
CAN,79,101484
EST,387,120923
LIF,331,105637
NEC,211,129610
SST,407,112369
STA,598,137858
STF,576,98427
TAW,31,76864
WAR,1975,583786
