local-authority-code,x,y,long,lat
ABC,110637.83710267965,506234.41480476985,54.36919159394883,-6.456724092266463
ABD,361954.71324754396,816889.2595710113,57.24111852952641,-2.631990989926155
ABE,389594.7357431648,807225.0018507764,57.15577518068948,-2.1736362601948294
ADU,519886.50974006584,106369.86380782105,50.844441271809465,-0.29853079785066283
AGB,182369.84762184558,697657.5719309921,56.121897301172176,-5.5027949718846205
AGY,241807.6989328561,379186.95567492914,53.2859774445482,-4.374488295194839
ALL,319741.6344062208,535833.9599791213,54.71108952940033,-3.2472347297148736
AMB,435866.7104758255,348127.29572727194,53.02923578798895,-1.4666587371164486
AND,165299.0893164665,521506.1252817658,54.53427958142684,-5.6293125548116505
ANN,129657.42279018859,542178.0456382603,54.70179484730147,-6.197767962713325
ANS,343953.35669542465,759519.29879757,56.72396259493627,-2.917443202168784
ARU,500910.10081213224,105570.74142169728,50.84087482329936,-0.5681884889528159
ASF,596821.440774578,139981.70952142568,51.12529509104035,0.8112981989241088
ASH,449710.9387486102,355261.7538508405,53.09225848020578,-1.2591513420286131
BAB,599993.9182273677,243148.56657527536,52.05062705050395,0.9153154171142276
BAE,469427.452648237,382267.20971090166,53.33277073113091,-0.9589166216011291
BAI,570944.0180218031,190801.49547749173,51.59013206565409,0.4662938386691312
BAN,455837.0175107629,153004.19474059186,51.27345898373285,-1.2009435842572471
BAR,320873.678340759,470757.3800064246,54.126557340666345,-3.2122852054860997
BAS,367002.9738494389,161986.4838731386,51.35598528238205,-2.475256294617867
BBD,369223.83412568393,421897.90987110056,53.69261245008202,-2.4675476946208126
BDF,504204.77331302146,255641.44786357463,52.18918053057245,-0.4770824350213
BDG,548019.5127589743,184942.36071407102,51.54397116248155,0.13316402463361782
BEN,520178.0059654989,185828.93640740175,51.55854916343554,-0.2678095362801607
BEX,548926.4174995912,175721.99237150248,51.46088630809562,0.14234309493389688
BFS,145414.58544057442,529500.1963264376,54.596349107275046,-5.942816284418816
BGE,289145.1734093607,185321.08001962738,51.555846820879665,-3.600387801234953
BGW,317714.1179837522,208236.8837835009,51.76673994972447,-3.193818628755711
BIR,408598.28317380295,287855.29419141787,52.48854726877568,-1.874802373006662
BLA,452828.0784536151,297360.2772443586,52.571507634482245,-1.2219618985461445
BNE,524028.1327467736,192316.49598786086,51.616019902950086,-0.21000954869961982
BNH,531532.8870965125,106544.7482977504,50.843485095956865,-0.1331354533735592
BNS,431077.5963930826,404459.23164643324,53.535870544281714,-1.5325745833475837
BOL,369178.69379185466,409216.70681088493,53.57863238912571,-2.4669702024726585
BOS,448355.4295133608,368973.510693718,53.215626935521996,-1.2773246815469628
BOT,532894.1983856849,343696.8019287697,52.97415774295703,-0.022346841085716863
BPC,408331.44613043114,94163.61603601949,50.74701827327496,-1.8832767544275935
BPL,331922.11323185853,436206.8274303917,53.817662831154095,-3.035526339791786
BRA,578118.1501007904,230204.72678763582,51.94182898789511,0.5899319151089268
