name,local-authority
aberdeen c ity,local-authority-sct:ABE
aberdeen city,local-authority-sct:ABE
aberdeen city council,local-authority-sct:ABE
aberdeen cuty,local-authority-sct:ABE
aberdeen,local-authority-sct:ABE
aberdeenshire,local-authority-sct:ABD
aberdeenshire council,local-authority-sct:ABD
abertawe,local-authority-wls:SWA
anglesey,local-authority-wls:AGY
angus,local-authority-sct:ANS
angus council,local-authority-sct:ANS
antrim and newtownabbey,local-authority-nir:ANN
ards and north down,local-authority-nir:AND
argyll and bute,local-authority-sct:AGB
argyll and bute council,local-authority-sct:AGB
"armagh city, banbridge and craigavon",local-authority-nir:ABC
"armagh, banbridge and craigavon",local-authority-nir:ABC
barking and dagenham,local-authority-eng:BDG
barking and dagenham london boro,local-authority-eng:BDG
barnsley,local-authority-eng:BNS
barnsley district,local-authority-eng:BNS
barnsley metropolitan borough council,local-authority-eng:BNS
basildon,local-authority-eng:BAI
basildon borough council,local-authority-eng:BAI
basildon district,local-authority-eng:BAI
bath and north east somerset,local-authority-eng:BAS
bath and north east somerset council,local-authority-eng:BAS
bedford,local-authority-eng:BDF
bedford borough council,local-authority-eng:BDF
belfast,local-authority-nir:BFS
belfast city,local-authority-nir:BFS
belfast city council,local-authority-nir:BFS
bexley,local-authority-eng:BEX
bexley london boro,local-authority-eng:BEX
birmingham,local-authority-eng:BIR
birmingham city council,local-authority-eng:BIR
birmingham district,local-authority-eng:BIR
blackburn,local-authority-eng:BBD
blackburn with darwen,local-authority-eng:BBD
blackburn with darwen borough council,local-authority-eng:BBD
blackpool,local-authority-eng:BPL
blackpool borough council,local-authority-eng:BPL
blaenau gwent,local-authority-wls:BGW
blaenau gwent county borough council,local-authority-wls:BGW
bolton,local-authority-eng:BOL
bolton district,local-authority-eng:BOL
bolton metropolitan borough council,local-authority-eng:BOL
borough council of kings lynn and west norfolk,local-authority-eng:KIN
borough of poole,local-authority-eng:POL
bournemouth,local-authority-eng:BMH
bournemouth borough council,local-authority-eng:BMH
bradford,local-authority-eng:BRD
bradford district,local-authority-eng:BRD
bradford mdc,local-authority-eng:BRD
bradford metropolitan district council,local-authority-eng:BRD
braintree,local-authority-eng:BRA
braintree district,local-authority-eng:BRA
braintree district council,local-authority-eng:BRA
brent,local-authority-eng:BEN
brent london boro,local-authority-eng:BEN
bridgend,local-authority-wls:BGE
bridgend county borough,local-authority-wls:BGE
bridgend county borough council,local-authority-wls:BGE
brighton and hove,local-authority-eng:BNH
brighton and hove city council,local-authority-eng:BNH
bristol,local-authority-eng:BST
bristol city council,local-authority-eng:BST
bristol city of,local-authority-eng:BST
"bristol, city of",local-authority-eng:BST
bro morgannwg,local-authority-wls:VGL
broadland,local-authority-eng:BRO
broadland district,local-authority-eng:BRO
broadland district council,local-authority-eng:BRO
bromley,local-authority-eng:BRY
bromley london boro,local-authority-eng:BRY
bromsgrove,local-authority-eng:BRM
bromsgrove district,local-authority-eng:BRM
bromsgrove district council,local-authority-eng:BRM
buckinghamshire,local-authority-eng:BUC
buckinghamshire county,local-authority-eng:BKM
buckinghamshire county council,local-authority-eng:BKM
bury,local-authority-eng:BUR
bury district,local-authority-eng:BUR
bury metropolitan borough council,local-authority-eng:BUR
caerdydd,local-authority-wls:CRF
caerffili,local-authority-wls:CAY
caerphilly,local-authority-wls:CAY
caerphilly county borough,local-authority-wls:CAY
caerphilly county borough council,local-authority-wls:CAY
calderdale,local-authority-eng:CLD
calderdale district,local-authority-eng:CLD
calderdale metropolitan borough council,local-authority-eng:CLD
cambridgeshire,local-authority-eng:CAM
cambridgeshire county,local-authority-eng:CAM
cambridgeshire county council,local-authority-eng:CAM
camden,local-authority-eng:CMD
camden london boro,local-authority-eng:CMD
cardiff,local-authority-wls:CRF
carmarthenshire,local-authority-wls:CMN
carmarthenshire county council,local-authority-wls:CMN
casnewydd,local-authority-wls:NWP
castell-nedd port talbot,local-authority-wls:NTL
causeway coast and glens,local-authority-nir:CCG
central bedfordshire,local-authority-eng:CBF
central bedfordshire council,local-authority-eng:CBF
ceredigion,local-authority-wls:CGN
ceredigion county council,local-authority-wls:CGN
chelmsford,local-authority-eng:CHL
chelmsford city council,local-authority-eng:CHL
chelmsford district,local-authority-eng:CHL
cheltenham,local-authority-eng:CHT
cheltenham borough council,local-authority-eng:CHT
cheltenham district,local-authority-eng:CHT
chichester,local-authority-eng:CHI
chichester district,local-authority-eng:CHI
chichester district council,local-authority-eng:CHI
city and county of swansea council,local-authority-wls:SWA
city and county of the city of london,local-authority-eng:LND
city of aberdeen,local-authority-sct:ABE
city of brighton and hove,local-authority-eng:BNH
city of bristol,local-authority-eng:BST
Cardiff Council,local-authority-wls:CRF
city of cardiff council,local-authority-wls:CRF
city of derby,local-authority-eng:DER
city of dundee,local-authority-sct:DND
city of edinburgh,local-authority-sct:EDH
city of edinburgh council,local-authority-sct:EDH
city of glasgow,local-authority-sct:GLG
city of kingston upon hull,local-authority-eng:KHL
city of leicester,local-authority-eng:LCE
city of london,local-authority-eng:LND
city of london corporation,local-authority-eng:LND
city of nottingham,local-authority-eng:NGM
city of peterborough,local-authority-eng:PTE
city of plymouth,local-authority-eng:PLY
city of portsmouth,local-authority-eng:POR
city of southampton,local-authority-eng:STH
city of westminster,local-authority-eng:WSM
city of westminster london boro,local-authority-eng:WSM
city of wolverhampton,local-authority-eng:WLV
city of wolverhampton district,local-authority-eng:WLV
city of york council,local-authority-eng:YOR
clackmannan,local-authority-sct:CLK
clackmannanshire,local-authority-sct:CLK
clackmannanshire council,local-authority-sct:CLK
