Register,local-authority-code,register-and-code,local-authority-type,local-authority-type-name,overlapping-la,official-name,alt-name-1,alt-name-2,alt-name-3,start-date,end-date,gss-code,archaic-gss-code,old-ons-la-code,ofcom,snac,os,ecode,notes
local-authority-eng,GLA,local-authority-eng:GLA,SRA,Strategic Regional Authority,,Greater London Authority,Greater London,,,22-06-05,,E12000007,,H,00-London,,7000000000041440,E5100,gss code is for London region - when working from code point open use E18000007 and the NHS_HA_code column
local-authority-eng,LND,local-authority-eng:LND,CC,City corporation,,City of London Corporation,City of London,,,28-06-05,,E09000001,,201,,00AA,7000000000011100,E5010,
local-authority-eng,WOT,local-authority-eng:WOT,NMD,Non-metropolitan district,WSX,Worthing Borough Council,Worthing,,,25-06-05,,E07000229,,45UH,,45UH,7000000000016260,E3837,
local-authority-eng,MSS,local-authority-eng:MSS,NMD,Non-metropolitan district,WSX,Mid Sussex District Council,Mid Sussex,,,01-04-74,,E07000228,,45UG,,45UG,7000000000016210,E3836,
local-authority-eng,HOR,local-authority-eng:HOR,NMD,Non-metropolitan district,WSX,Horsham District Council,Horsham,,,01-04-74,,E07000227,,45UF,,45UF,7000000000016340,E3835,
local-authority-eng,CRW,local-authority-eng:CRW,NMD,Non-metropolitan district,WSX,Crawley Borough Council,Crawley,,,01-04-74,,E07000226,,45UE,,45UE,7000000000016350,E3834,
local-authority-eng,CHI,local-authority-eng:CHI,NMD,Non-metropolitan district,WSX,Chichester District Council,Chichester,,,01-04-74,,E07000225,,45UD,,45UD,7000000000016440,E3833,
local-authority-eng,ARU,local-authority-eng:ARU,NMD,Non-metropolitan district,WSX,Arun District Council,Arun,,,,,E07000224,,45UC,,45UC,7000000000016430,E3832,
local-authority-eng,ADU,local-authority-eng:ADU,NMD,Non-metropolitan district,WOR,Adur District Council,Adur,,,,,E07000223,,45UB,,45UB,7000000000016220,E3831,
local-authority-eng,WSX,local-authority-eng:WSX,CTY,County,,West Sussex County Council,West Sussex,,,,,E10000032,,938,45-00,45,7000000000016410,E3820,
local-authority-eng,WYE,local-authority-eng:WYE,NMD,Non-metropolitan district,WOR,Wyre Forest District Council,Wyre Forest,,,,,E07000239,,47UG,,47UG,7000000000003210,E1839,
local-authority-eng,WYC,local-authority-eng:WYC,NMD,Non-metropolitan district,WOR,Wychavon District Council,Wychavon,,,,,E07000238,,47UF,,47UF,7000000000003120,E1838,
local-authority-eng,WOC,local-authority-eng:WOC,NMD,Non-metropolitan district,WOR,Worcester City Council,Worcester,,,,,E07000237,,47UE,,47UE,7000000000003130,E1837,
local-authority-eng,RED,local-authority-eng:RED,NMD,Non-metropolitan district,WOR,Redditch Borough Council,Redditch,,,,,E07000236,,47UD,,47UD,7000000000003080,E1835,
local-authority-eng,MAV,local-authority-eng:MAV,NMD,Non-metropolitan district,WOR,Malvern Hills District Council,Malvern Hills,,,,,E07000235,,47UC,,47UC,7000000000003290,E1851,
local-authority-eng,BRM,local-authority-eng:BRM,NMD,Non-metropolitan district,WOR,Bromsgrove District Council,Bromsgrove,,,,,E07000234,,47UB,,47UB,7000000000003080,E1831,
